episode,episode_length,episode_reward,fps,step,total_time
8,59.3,0.0,53.23240513130462,1024,19.236403041984886
16,117.9,0.0,100.44751867993733,2048,20.388756506028585
24,128.2,0.0,142.3288196613616,3072,21.58382263907697
32,137.0,0.0,180.13818571096627,4096,22.73809955304023
40,113.8,0.0,213.88423827157007,5120,23.938182829064317
48,106.6,0.0,244.44482587211613,6144,25.13450623501558
56,117.0,0.0,271.9109889139316,7168,26.36156791099347
64,123.4,0.0,297.0378077139339,8192,27.57898081408348
72,145.8,0.0,320.50065607775275,9216,28.755011340021156
80,125.0,0.0,341.28961471328546,10240,30.00384294905234
88,134.6,0.0,360.37234759191983,11264,31.256560264038853
96,137.8,0.0,378.1435650049963,12288,32.495594629086554
104,123.4,0.0,395.1357015951497,13312,33.68969178502448
112,124.2,0.0,410.3239204709024,14336,34.93825069605373
120,126.6,0.0,424.7302456389594,15360,36.16413042799104
128,125.0,0.0,438.42383846180024,16384,37.37023072806187
136,122.6,0.0,451.76310439287363,17408,38.533469933085144
144,123.4,0.0,463.5823566578414,18432,39.759925578022376
152,124.2,0.0,475.2795939311628,19456,40.935904357000254
160,140.2,0.0,485.9878204397513,20480,42.140973782981746
168,129.0,0.0,495.59463255314944,21504,43.39030043408275
176,129.8,0.0,505.5596766353714,22528,44.5605158819817
184,119.4,0.0,513.8677727200348,23552,45.83280223107431
192,120.2,0.0,522.3861177297174,24576,47.045660606003366
200,118.6,0.0,531.124251271612,25600,48.1996443180833
208,135.4,0.0,539.5321005652297,26624,49.346461447072215
216,145.8,0.0,547.6834829990869,27648,50.4817122630775
224,143.4,0.0,555.0809011116877,28672,51.65373181202449
232,145.0,0.0,562.4566001689074,29696,52.796962452004664
240,184.2,0.0,569.6239702785116,30720,53.930314739001915
248,208.2,0.0,576.3965492445793,31744,55.073195773991756
256,136.2,0.0,582.6438821232634,32768,56.240185481030494
264,182.3,0.0,589.035697866011,33792,57.368339681997895
272,164.2,0.0,594.8772845968839,34816,58.526356446091086
280,187.4,0.0,600.1403118806795,35840,59.71936777199153
288,166.6,0.0,605.1573471743048,36864,60.91638839407824
296,170.6,0.0,610.4632820899261,37888,62.06433885800652
304,215.9,0.0,615.6585433409857,38912,63.20386587805115
312,215.9,0.0,620.8617762817988,39936,64.32349602703471
320,243.1,0.0,625.9043976253594,40960,65.44130406400654
328,203.4,0.0,630.8076219430128,41984,66.55594913498498
336,208.2,0.0,636.673685520874,43008,67.5510877519846
344,264.4,0.0,642.4856426171685,44032,68.53382718504872
352,316.9,0.0,646.9846556003072,45056,69.63998235506006
360,327.8,0.0,651.4104495876879,46080,70.7388099610107
368,247.6,0.0,655.5365851291747,47104,71.85563867609017
376,196.2,0.0,659.1832938561147,48128,73.01155907404609
384,188.2,0.0,662.9552719379512,49152,74.14074837404769
392,223.4,0.0,666.7513144057306,50176,75.25444482208695
400,200.2,0.0,670.1048414063938,51200,76.40595446608495
408,182.3,0.0,674.2996832416865,52224,77.44924296706449
416,299.6,0.0,677.7144765867382,53248,78.56996100803372
424,261.5,0.0,680.9691752642035,54272,79.69817426602822
432,250.3,0.0,684.0050268758885,55296,80.84151113999542
440,243.9,0.0,687.2140189979322,56320,81.95409063703846
448,292.4,0.0,690.5544280331719,57344,83.04052174906246
456,321.7,0.0,693.477709985603,58368,84.16708880406804
464,321.7,0.0,696.3445050815656,59392,85.29111605905928
472,319.0,0.0,699.5034751261296,60416,86.36983538803179
480,308.1,0.0,702.2948904080341,61440,87.48461769998539
488,326.5,0.0,705.5149987497704,62464,88.53674282005522
496,295.6,0.0,708.8051875536655,63488,89.57045054808259
504,283.6,0.0,711.5861730761146,64512,90.65943443099968
512,290.8,0.0,714.5790830247031,65536,91.71273209201172
520,328.9,0.0,717.2655319974815,66560,92.79687511909287
528,399.5,0.0,719.7652475369005,67584,93.89728141401429
536,355.8,0.0,721.890655663799,68608,95.0393241160782
544,254.0,0.0,724.3006250569563,69632,96.13687685900368
552,209.0,0.0,726.7571745805528,70656,97.22091844608076
560,225.5,0.0,728.7107612664472,71680,98.3655022130115
568,299.3,0.0,731.0271533128592,72704,99.45458205009345
576,334.2,0.0,733.7527111355371,73728,100.48071902303491
584,327.8,0.0,736.2624522669705,74752,101.52901288098656
592,418.9,0.0,738.4614283497364,75776,102.61334863398224
600,396.0,0.0,740.572550763968,76800,103.70354656106792
608,400.8,0.0,742.4700599414501,77824,104.81769460998476
616,373.1,0.0,744.4938228728579,78848,105.90819907106925
624,369.4,0.0,746.3988652985755,79872,107.00980898202397
632,381.9,0.0,747.9557651596492,80896,108.15612870198674
640,270.8,0.0,749.6040701378081,81920,109.28435858804733
648,266.5,0.0,751.2146358213075,82944,110.41318425501231
656,260.4,0.0,752.319146985015,83968,111.61220651702024
664,223.1,0.0,753.1422696197642,84992,112.84986041602679
672,195.1,0.0,755.0332977524381,86016,113.92345245706383
680,195.1,0.0,757.1638008938941,87040,114.95531072304584
688,253.2,0.0,759.1969899945798,88064,115.99624492798466
696,337.4,0.0,760.7988231436565,89088,117.09797293308657
704,367.0,0.0,762.5337581377282,90112,118.17444019799586
712,337.7,0.0,764.019321912012,91136,119.28494134405628
720,300.7,0.0,765.4841582791314,92160,120.39439223299269
728,257.5,0.0,766.7922298852358,93184,121.52444478205871
736,298.5,0.0,768.1005305332749,94208,122.65061180805787
744,274.0,0.0,769.6133896236611,95232,123.7400508930441
752,228.7,0.0,770.829409104099,96256,124.8732843650505
760,216.2,0.0,771.7606424438683,97280,126.04944415402133
768,190.3,0.0,772.9003155774521,98304,127.1884588720277
776,209.5,0.0,774.254016942725,99328,128.28864665399306
784,206.3,0.0,775.4925978140126,100352,129.4042009980185
792,248.7,0.0,777.2105020744617,101376,130.43570529401768
800,315.3,0.0,778.8032413989372,102400,131.48378763301298
808,335.0,0.0,759.9966367298101,103424,136.08481274999212
816,237.2,0.0,761.2415152135876,104448,137.20744062506128
824,242.0,0.0,761.5700653610438,105472,138.49283841007855
832,105.0,0.0,762.5221797345517,106496,139.6628227090696
840,191.1,0.0,763.4408726178667,107520,140.83605405001435
848,197.5,0.0,764.7944652170617,108544,141.9257132950006
856,267.6,0.0,765.9959973897542,109568,143.03991192299873
864,238.0,0.0,767.3490539606717,110592,144.1221559200203
872,238.0,0.0,768.7238425603475,111616,145.19648516201414
880,276.1,0.0,770.1198634196973,112640,146.262946004048
888,392.3,0.0,771.2100723301829,113664,147.3839671940077
896,319.3,0.0,772.3017324080639,114688,148.50154439301696
904,246.0,0.0,773.3462867638041,115712,149.62507996801287
912,160.2,0.0,774.3586693933383,116736,150.75184745003935
920,268.1,0.0,775.507967682477,117760,151.84885895100888
928,307.8,0.0,776.5394399694596,118784,152.96583004808053
936,353.4,0.0,777.4084989394089,119808,154.11202754208352
944,302.0,0.0,778.2095541185648,120832,155.26923225307837
952,180.7,0.0,778.8798120905981,121856,156.45032533700578
960,217.2,0.0,779.7669183755157,122880,157.58555166202132
968,143.4,0.0,780.5675898925173,123904,158.73577330703847
976,139.4,0.0,781.4920604583489,124928,159.85830991901457
984,170.6,0.0,782.6531072197682,125952,160.92953421908896
992,223.9,0.0,784.1502180477261,126976,161.9281574850902
1000,275.6,0.0,785.4780532625708,128000,162.9580858030822
1008,381.1,0.0,786.5322471078645,129024,164.04158948909026
1016,354.7,0.0,787.5188709848175,130048,165.13636027206667
1024,337.1,0.0,788.5026490309007,131072,166.22899131802842
1032,301.4,0.0,789.7335361635381,132096,167.26654491806403
1040,319.0,0.0,790.60499987043,133120,168.37738190602977
1048,388.8,0.0,791.4358533076875,134144,169.494469374069
1056,361.1,0.0,792.4672591217144,135168,170.56603720108978
1064,380.0,0.0,793.3035471362904,136192,171.67703395709395
1072,342.7,0.0,793.9387040240174,137216,172.82946316199377
1080,300.1,0.0,795.0182859216943,138240,173.88279294699896
1088,294.5,0.0,795.7272732872419,139264,175.01473768102005
1096,291.3,0.0,796.3388882399776,140288,176.16620520700235
1104,212.4,0.0,797.004944063618,141312,177.30379347398411
1112,253.7,0.0,797.9027577164757,142336,178.38765266002156
1120,318.2,0.0,799.0707738852259,143360,179.40838869998697
1128,318.2,0.0,800.5933924766314,144384,180.34622988000046
1136,356.3,0.0,801.829044035717,145408,181.34538912202697
1144,445.3,0.0,802.5328844012519,146432,182.46230509201996
1152,426.1,0.0,803.4898838944217,147456,183.51942315103952
1160,314.5,0.0,804.2542028211975,148480,184.61824567301665
1168,297.7,0.0,804.9340863404136,149504,185.73446265608072
1176,195.9,0.0,805.469045836621,150528,186.88241438707337
1184,209.2,0.0,806.2811105405422,151552,187.964219946065
1192,277.4,0.0,807.1410392259428,152576,189.0326381450286
1200,321.1,0.0,807.8536599593515,153600,190.13344571308699
1208,303.8,0.0,808.5480457491158,154624,191.23662571806926
1216,260.9,0.0,809.2241577430925,155648,192.34225586405955
1224,275.8,0.0,809.8438698714789,156672,193.45951217098627
1232,316.3,0.0,810.5934225382022,157696,194.5438929250231
1240,284.6,0.0,811.1763002847773,158720,195.66646602505352
1248,243.3,0.0,811.6651778049918,159744,196.81021727703046
1256,194.8,0.0,812.4865422888643,160768,197.87158510601148
1264,236.9,0.0,813.1842198694065,161792,198.961066935095
1272,244.1,0.0,814.1395466141665,162816,199.98537189001217
1280,226.8,0.0,814.874238900552,163840,201.06170029507484
1288,272.9,0.0,815.5395582827281,164864,202.15328407508787
1296,275.8,0.0,815.7584305797809,165888,203.35431885404978
1304,236.9,0.0,816.1629052320816,166912,204.50819184503052
1312,239.3,0.0,816.5462769941211,167936,205.66623684600927
1320,198.0,0.0,816.9608018899028,168960,206.81530816305894
1328,260.9,0.0,817.7450220146562,169984,207.86919568304438
1336,271.3,0.0,818.3115764675507,171008,208.9766354500316
1344,316.1,0.0,818.9398145534494,172032,210.06671912001912
1352,270.0,0.0,819.5772808298015,173056,211.15275404509157
1360,300.9,0.0,820.1302061294124,174080,212.25897875602823
1368,283.8,0.0,820.4607501432939,175104,213.42154389398638
1376,271.8,0.0,820.9603671813533,176128,214.53898024908267
1384,291.8,0.0,821.1889738799867,177152,215.7262282309821
1392,291.8,0.0,822.2655342683313,178176,216.68912604800425
1400,341.9,0.0,822.8763410466256,179200,217.77269689401146
1408,380.8,0.0,823.4731128255589,180224,218.85839038703125
1416,380.8,0.0,823.9649815781081,181248,219.97051337407902
1424,300.9,0.0,824.4022157574398,182272,221.09596082603093
1432,237.5,0.0,824.6215082591564,183296,222.27894635801204
1440,230.3,0.0,824.7522460790893,184320,223.4852961919969
1448,240.1,0.0,825.1631432238115,185344,224.61497647105716
1456,319.0,0.0,825.6045013583372,186368,225.7352033490315
1464,290.5,0.0,825.8985219114979,187392,226.89470319706015
1472,215.1,0.0,826.3632508902107,188416,228.00626697402913
1480,222.0,0.0,827.7173321894418,189440,228.87040373904165
1488,249.7,0.0,828.1142839406749,190464,229.9972403490683
1496,291.0,0.0,828.479687476824,191488,231.13179827400018
1504,282.2,0.0,828.8060482561737,192512,232.27629721700214
1512,283.8,0.0,828.897985543357,193536,233.48590945499018
1520,173.5,0.0,829.1184411240225,194560,234.65887423302047
1528,218.8,0.0,829.3794330053146,195584,235.81968905508984
1536,230.0,0.0,829.8730352491291,196608,236.9133489690721
1544,288.9,0.0,830.16539855274,197632,238.06340320198797
1552,274.0,0.0,830.2715409385778,198656,239.2663004869828
1560,249.2,0.0,830.5505723130964,199680,240.41883379104547
1568,237.7,0.0,830.8433043554562,200704,241.5666094290791
1576,258.0,0.0,831.2484556767565,201728,242.6807516120607
1584,213.5,0.0,831.7895417431523,202752,243.75396638805978
1592,194.6,0.0,832.259620004826,203776,244.84667416498996
1600,336.1,0.0,832.6555900935705,204800,245.96003730304074
1608,306.5,0.0,828.6812149665501,205824,248.37536592199467
1616,194.3,0.0,829.1694435787052,206848,249.4640891579911
1624,119.4,0.0,829.798823854289,207872,250.50891134608537
1632,246.5,0.0,830.2265775374783,208896,251.6132410740247
1640,311.5,0.0,830.773504244822,209920,252.68018169503193
1648,416.0,0.0,831.1686602956211,210944,253.79205217503477
1656,232.7,0.0,831.4884966478369,211968,254.92595610709395
1664,171.1,0.0,831.763623441711,212992,256.0727519179927
1672,231.3,0.0,831.9716556249331,214016,257.23953280504793
1680,193.2,0.0,832.2158360706136,215040,258.394506184035
1688,202.0,0.0,832.5046876069226,216064,259.5348749579862
1696,199.6,0.0,832.8749315653306,217088,260.64897834300064
1704,237.7,0.0,833.2232098368968,218112,261.7689923000289
1712,239.3,0.0,833.4675071926356,219136,262.9208674710244
1720,283.0,0.0,833.780918232729,220160,264.0501781530911
1728,258.5,0.0,833.9504902743596,221184,265.22437792108394
1736,143.4,0.0,834.1579471631925,222208,266.3860013030935
1744,117.8,0.0,834.4051843152732,223232,267.53429172805045
1752,188.4,0.0,834.6306152431824,224256,268.68892166705336
1760,225.7,0.0,834.880366624715,225280,269.83506740105804
1768,200.4,0.0,835.12879352185,226304,270.98095737502445
1776,214.8,0.0,835.4270031688313,227328,272.10994992707856
1784,246.5,0.0,835.7687709047173,228352,273.2238963090349
1792,209.2,0.0,836.175945840562,229376,274.31547288701404
1800,229.2,0.0,836.5357742892052,230400,275.4215744039975
1808,223.9,0.0,836.5844253128037,231424,276.6295821410604
1816,265.5,0.0,836.7802006036948,232448,277.788599482039
1824,243.1,0.0,837.0680496954842,233472,278.9163916660473
1832,281.7,0.0,837.3899141370227,234496,280.03203291702084
1840,291.8,0.0,837.7334992853953,235520,281.13952730898745
1848,282.5,0.0,837.9466806021486,236544,282.2900376310572
1856,147.4,0.0,838.2096218924404,237568,283.42313640308566
1864,222.8,0.0,838.5565578765829,238592,284.52702177199535
