episode,episode_length,episode_reward,fps,step,total_time
8,54.125,0.0,87.10996467689081,1024,11.755256747012027
16,127.3,0.0,165.00518728489305,2048,12.411731011001393
24,142.6,0.0,235.71851453427527,3072,13.032493463950232
32,133.8,0.0,300.5977467437007,4096,13.62618331098929
40,139.4,0.0,359.18417423974694,5120,14.254525581025518
48,133.0,0.0,411.47924946246985,6144,14.931494134943932
56,117.8,0.0,461.04850769922007,7168,15.547171024954878
64,136.2,0.0,505.8399862743738,8192,16.194844658952206
72,123.4,0.0,547.5281284540863,9216,16.832011947990395
80,149.0,0.0,587.2716872098603,10240,17.436563387978822
88,147.4,0.0,622.2727147391339,11264,18.101388238952495
96,120.2,0.0,655.0267886082647,12288,18.75953810394276
104,143.4,0.0,688.30722108522,13312,19.34020099195186
112,134.6,0.0,718.5620132908773,14336,19.950957237975672
120,163.9,0.0,748.5651261685096,15360,20.51925672602374
128,208.7,0.0,774.9049453530492,16384,21.143238403950818
136,138.6,0.0,799.2291043021098,17408,21.780988587997854
144,172.7,0.0,821.9301784052226,18432,22.425262490985915
152,124.2,0.0,842.8906179201886,19456,23.082473082933575
160,127.4,0.0,862.4922251311064,20480,23.74514158302918
168,121.8,0.0,882.8719717405158,21504,24.356872443924658
176,145.8,0.0,904.0412351696659,22528,24.919217313989066
184,200.2,0.0,924.0000347735443,23552,25.489176529925317
192,219.4,0.0,941.1980077364466,24576,26.111402487033047
200,275.9,0.0,958.192393347678,25600,26.71697268495336
208,259.9,0.0,973.222349515509,26624,27.35654397297185
216,248.7,0.0,986.0548534410559,27648,28.0390080770012
224,219.1,0.0,998.8007574691659,28672,28.70642596692778
232,309.7,0.0,1012.2970684472239,29696,29.335262271924876
240,327.8,0.0,1024.988894151437,30720,29.971056442940608
248,357.1,0.0,1037.8693703387496,31744,30.585737383924425
256,373.6,0.0,1048.6644824853608,32768,31.247363238944672
264,355.5,0.0,1059.6611326578302,33792,31.889439895981923
272,257.2,0.0,1070.4053344743945,34816,32.52599634800572
280,292.1,0.0,1082.3554672760652,35840,33.11296619602945
288,343.8,0.0,1093.7715757331976,36864,33.70356372196693
296,353.9,0.0,1103.4679238346207,37888,34.335388624924235
304,453.0,0.0,1112.997541391,38912,34.9614429079229
312,390.4,0.0,1122.5012949382751,39936,35.577687241951935
320,342.7,0.0,1129.5440897257558,40960,36.262418061029166
328,307.0,0.0,1137.4625891447292,41984,36.9102249169955
336,326.5,0.0,1145.5881677274358,43008,37.542287194984965
344,326.5,0.0,1153.5929676947987,44032,38.169442110927776
352,339.3,0.0,1162.0627037550246,45056,38.77243444300257
360,339.3,0.0,1171.0907421685433,46080,39.34793294896372
368,382.7,0.0,1178.4680442136641,47104,39.97053652093746
376,376.0,0.0,1185.6504078311032,48128,40.59206633095164
384,404.5,0.0,1192.7363132233345,49152,41.209443742991425
392,333.1,0.0,1197.1688539836564,50176,41.91221633693203
400,369.9,0.0,1200.326891391703,51200,42.655047026928514
408,405.6,0.0,1204.7807512099912,52224,43.34730609494727
416,379.5,0.0,1208.696517237125,53248,44.054069189936854
424,375.5,0.0,1213.4586416892057,54272,44.725051300018094
432,445.3,0.0,1218.427585801729,55296,45.383082789951004
440,409.6,0.0,1222.1461606516373,56320,46.082867837976664
448,416.0,0.0,1226.4491410876774,57344,46.7561173789436
456,419.2,0.0,1229.411442657096,58368,47.47637607296929
464,399.2,0.0,1232.9465453586565,59392,48.170782604953274
472,434.9,0.0,1239.1288704662143,60416,48.75683348195162
480,434.9,0.0,1243.5518308964313,61440,49.40686706698034
488,454.6,0.0,1247.7731570669741,62464,50.060381285031326
496,483.1,0.0,1249.9308601989173,63488,50.79320946591906
504,483.1,0.0,1254.3461334113247,64512,51.43077997502405
512,449.8,0.0,1257.18990802056,65536,52.12895806902088
520,449.8,0.0,1260.9803285728565,66560,52.78432858292945
528,492.7,0.0,1263.5375351273892,67584,53.48792427696753
536,492.7,0.0,1268.2699324131015,68608,54.095739595009945
544,464.2,0.0,1271.1149439280039,69632,54.780254399986006
552,459.4,0.0,1274.0379845682799,70656,55.45831510191783
560,418.9,0.0,1276.5882373522577,71680,56.14966353494674
568,418.9,0.0,1278.542330985318,72704,56.86475780897308
576,418.9,0.0,1282.3220465492236,73728,57.495697121019475
584,447.4,0.0,1285.5104881889476,74752,58.14966170000844
592,485.5,0.0,1288.3163176664914,75776,58.81785316299647
600,491.9,0.0,1290.9539812481992,76800,59.49088899802882
608,491.9,0.0,1294.2482626420335,77824,60.130658271955326
616,450.6,0.0,1297.1586288029773,78848,60.785164010943845
624,450.6,0.0,1299.7061505071056,79872,61.45389091898687
632,484.7,0.0,1301.366838356268,80896,62.16233395203017
640,451.4,0.0,1302.0437071582155,81920,62.916474730940536
648,449.8,0.0,1304.0633402355795,82944,63.604272461961955
656,449.8,0.0,1305.842013010395,83968,64.30180616292637
664,449.8,0.0,1306.0668269345476,84992,65.07477125001606
672,409.3,0.0,1305.8572344637198,86016,65.86937509698328
680,414.9,0.0,1306.0958282033328,87040,66.64135825296398
688,341.1,0.0,1306.5355627776212,88064,67.40268118900713
696,351.5,0.0,1306.8283603644584,89088,68.17115598497912
704,383.2,0.0,1306.6144821704092,90112,68.96601960994303
712,383.2,0.0,1308.0512194681362,91136,69.67311267601326
720,420.5,0.0,1308.5070049964334,92160,70.43141507694963
728,494.3,0.0,1309.2076512381316,93184,71.17587489797734
736,498.3,0.0,1309.5629869350703,94208,71.93850233999547
744,498.3,0.0,1310.3785708000378,95232,72.67518114391714
752,498.3,0.0,1310.182809366956,96256,73.46761025395244
760,436.5,0.0,1309.7771383478776,97280,74.27217741997447
768,387.2,0.0,1309.3076088404541,98304,75.08090485096909
776,308.6,0.0,1308.518037494289,99328,75.90877401293255
784,319.0,0.0,1308.5958037293237,100352,76.6867811389966
792,319.0,0.0,1309.5687645607825,101376,77.41174250899348
800,355.5,0.0,1310.373649635164,102400,78.14564954699017
808,414.9,0.0,1264.411871427008,103424,81.79613173299003
816,447.4,0.0,1263.0198141577011,104448,82.6970399270067
824,412.8,0.0,1262.6485248541744,105472,83.53235118393786
832,412.8,0.0,1262.7014537917446,106496,84.33980944601353
840,420.0,0.0,1262.0708992711486,107520,85.19331208895892
848,368.6,0.0,1261.2817177703635,108544,86.05848992394749
856,419.2,0.0,1260.9993560283135,109568,86.8898143969709
864,406.7,0.0,1259.845118858786,110592,87.78221889701672
872,404.3,0.0,1260.4677547834194,111616,88.55125375196803
