episode,episode_length,episode_reward,fps,step,total_time
8,59.625,0.0,62.33426878920672,1024,16.427560953074135
16,129.6,0.0,117.22650844830821,2048,17.47045124100987
24,129.8,0.0,165.52635269534736,3072,18.558978373999707
32,133.0,0.0,209.39704996150786,4096,19.56092505005654
40,125.0,0.0,249.20713096318465,5120,20.545158480061218
48,122.6,0.0,284.97001022734804,6144,21.56016345403623
56,121.8,0.0,317.5437512808596,7168,22.573267372092232
64,136.2,0.0,347.20242183445094,8192,23.594305468024686
72,129.8,0.0,375.68009822372125,9216,24.531509770080447
80,153.8,0.0,401.3765801685169,10240,25.5122010250343
88,159.4,0.0,425.14009804738373,11264,26.494795602047816
96,109.8,0.0,446.98473002477533,12288,27.490872002090327
104,125.8,0.0,466.74979902588797,13312,28.52063359809108
112,119.4,0.0,484.89005852968216,14336,29.56546488800086
120,132.2,0.0,502.1033759621486,15360,30.59130994800944
128,139.4,0.0,518.0520691345512,16384,31.626164581044577
136,120.2,0.0,533.1486850602117,17408,32.65130438806955
144,123.4,0.0,547.5950263028598,18432,33.65991127502639
152,121.0,0.0,560.3420197344288,19456,34.72165091102943
160,122.6,0.0,571.4566058069264,20480,35.838241770048626
168,135.4,0.0,581.4756241276276,21504,36.9817737970734
176,112.2,0.0,592.1426952316023,22528,38.04488374409266
184,106.6,0.0,602.2241314562698,23552,39.10836309904698
192,109.8,0.0,612.7628674137161,24576,40.106868916074745
200,131.4,0.0,621.3812261986944,25600,41.198541122023016
208,127.4,0.0,630.2788626149127,26624,42.24161966901738
216,129.8,0.0,639.1473032700522,27648,43.25763381703291
224,145.8,0.0,648.6546373452721,28672,44.2022585660452
232,123.4,0.0,657.1506087783166,29696,45.18903216905892
240,129.0,0.0,665.0657756671801,30720,46.190919941989705
248,144.2,0.0,672.2704451977908,31744,47.21909199899528
256,153.0,0.0,679.7534138549391,32768,48.20571597304661
264,144.2,0.0,685.2721826708248,33792,49.31179297005292
272,145.0,0.0,692.3633237153699,34816,50.28573699307162
280,154.6,0.0,697.9198559345203,35840,51.35260115505662
288,140.2,0.0,702.5929789516895,36864,52.468500404036604
296,141.0,0.0,707.9200011209482,37888,53.52017168607563
304,138.6,0.0,713.1909751717417,38912,54.560421198024414
312,135.4,0.0,718.8453107336912,39936,55.555763393989764
320,145.0,0.0,723.5966524963773,40960,56.60612146102358
