episode,episode_length,episode_reward,fps,step,total_time
8,58.6,0.0,73.42675102893399,1024,13.94587102998048
16,112.0,0.0,138.4640198715143,2048,14.790846040006727
24,148.2,0.0,197.28353763220537,3072,15.57149692706298
32,141.0,0.0,249.52979196307663,4096,16.4148736220086
40,126.6,0.0,296.86685194924195,5120,17.246789145981893
48,118.6,0.0,339.8906463920048,6144,18.076402117032558
56,118.6,0.0,379.7350118763317,7168,18.87632105499506
64,136.2,0.0,416.07975857927556,8192,19.688532861997373
72,125.0,0.0,446.32147854475346,9216,20.648793398984708
80,107.4,0.0,477.0381191550989,10240,21.46578981599305
88,123.4,0.0,504.6074909677572,11264,22.32230040500872
96,128.2,0.0,528.6419376288151,12288,23.244466859963723
104,120.2,0.0,552.1713313489375,13312,24.10845917603001
112,106.6,0.0,574.5050354266065,14336,24.953654217068106
120,117.0,0.0,593.9439090949995,15360,25.861027893028222
128,126.6,0.0,612.7216859716724,16384,26.73970968404319
136,121.8,0.0,631.4344271710532,17408,27.568975100060925
144,123.4,0.0,649.1153413585035,18432,28.395569824962877
152,113.8,0.0,663.1292578793638,19456,29.33967966097407
160,124.2,0.0,678.6269979905918,20480,30.1785812539747
168,128.2,0.0,693.9884031020238,21504,30.986108563025482
176,138.6,0.0,706.774567648514,22528,31.874378381995484
184,151.4,0.0,720.3117952535969,23552,32.69695173006039
192,139.4,0.0,733.1727144716481,24576,33.5200690299971
200,137.0,0.0,745.8559571806139,25600,34.32298120507039
208,136.2,0.0,756.5126167574526,26624,35.19306804705411
216,137.8,0.0,765.7120344475237,27648,36.10756884596776
224,144.2,0.0,775.2085858945366,28672,36.98617445898708
232,141.8,0.0,784.7583238791576,29696,37.84094936796464
240,165.0,0.0,793.5400535520524,30720,38.712601667037234
248,221.5,0.0,802.5227830736509,31744,39.5552633140469
256,165.8,0.0,809.7295212132312,32768,40.46783418604173
264,146.6,0.0,815.0884423938669,33792,41.45807772804983
272,156.2,0.0,821.8608497646942,34816,42.36240235797595
280,135.4,0.0,829.1494533078362,35840,43.22501794702839
288,145.8,0.0,836.5692899789937,36864,44.06568641902413
296,183.4,0.0,843.9627766461239,37888,44.89297519798856
304,228.2,0.0,850.802808824068,38912,45.73562709998805
312,213.0,0.0,856.6613510222504,39936,46.618188100052066
320,230.6,0.0,862.7470778810575,40960,47.476254687062465
328,227.4,0.0,868.0634771575662,41984,48.36512663506437
336,278.8,0.0,873.2942629428461,43008,49.24800473905634
344,260.4,0.0,879.2901624024599,44032,50.07675723300781
352,237.5,0.0,885.3304525235417,45056,50.89173186302651
360,236.2,0.0,892.2050730695992,46080,51.64731897506863
368,246.6,0.0,897.4748273471517,47104,52.48503753496334
376,250.3,0.0,903.3742948223124,48128,53.275813000043854
384,265.5,0.0,906.8180251715596,49152,54.2027161300648
392,260.7,0.0,910.0087915077833,50176,55.137928851065226
400,305.8,0.0,914.0092528294705,51200,56.01693838601932
408,245.0,0.0,917.4928577936311,52224,56.920334100024775
416,299.6,0.0,919.2985840851101,53248,57.9224214219721
