episode,episode_length,episode_reward,fps,step,total_time
8,85.57142857142857,0.0,100.96055038952765,1024,10.142575451987796
16,126.0,0.0,187.91254939142672,2048,10.89868668501731
24,134.0,0.0,263.86233316360335,3072,11.642434761975892
32,165.0,0.0,329.8100444242017,4096,12.41927002905868
40,129.0,0.0,389.1694493114242,5120,13.156222846009769
48,134.6,0.0,441.95228071150063,6144,13.901953374035656
56,128.2,0.0,489.64765381552854,7168,14.639098021085374
64,152.2,0.0,533.0544597481044,8192,15.3680357610574
72,145.8,0.0,571.0204834331091,9216,16.139526106999256
80,154.6,0.0,607.1760622249807,10240,16.864959996077232
88,205.5,0.0,638.6798038105712,11264,17.636380441021174
96,197.0,0.0,668.9650538774455,12288,18.368672517011873
104,154.6,0.0,696.7111649411593,13312,19.106913553085178
112,133.0,0.0,719.7765350530859,14336,19.917292801081203
120,124.2,0.0,742.4435615795978,15360,20.68844124302268
128,120.2,0.0,762.8177335190204,16384,21.478263129014522
136,135.4,0.0,781.6613257735144,17408,22.270514641073532
144,120.2,0.0,800.0381339703254,18432,23.038901794003323
152,126.6,0.0,818.4951408278126,19456,23.77045266306959
160,112.2,0.0,835.1572225726022,20480,24.52232878608629
168,148.2,0.0,849.9270169813864,21504,25.30099593300838
176,131.4,0.0,862.6406766250133,22528,26.11516082007438
184,141.8,0.0,875.1321385545378,23552,26.912507223081775
192,130.6,0.0,890.1900322774158,24576,27.60758839000482
200,169.0,0.0,901.8030045065763,25600,28.38757452799473
208,179.4,0.0,913.9940204695023,26624,29.129293413017876
216,135.4,0.0,925.6933853545141,27648,29.86734099802561
224,154.6,0.0,937.1645057000377,28672,30.594415202038363
232,160.2,0.0,946.4066745930761,29696,31.37763162201736
240,189.0,0.0,953.9933608690765,30720,32.20148196001537
248,197.8,0.0,962.2789241423424,31744,32.98835629003588
256,203.1,0.0,970.7412097918491,32768,33.75564946606755
264,213.5,0.0,979.0913490548663,33792,34.51363351603504
272,239.6,0.0,986.9045257655526,34816,35.27798190305475
280,257.2,0.0,993.7276064021295,35840,36.066221537068486
288,227.6,0.0,1000.2225573315992,36864,36.85579747206066
296,209.5,0.0,1006.903493179211,37888,37.62823374499567
304,229.5,0.0,1013.0912252666618,38912,38.40917681402061
312,314.0,0.0,1020.1107354093376,39936,39.148691033013165
320,336.9,0.0,1026.6482188276061,40960,39.89682078908663
328,329.4,0.0,1033.3448471530837,41984,40.6292247120291
336,329.4,0.0,1038.9794409187327,43008,41.39446682599373
344,342.7,0.0,1044.2728018992866,44032,42.165227247052826
352,378.4,0.0,1048.0451417665322,45056,42.99051462998614
360,324.6,0.0,1053.707569678274,46080,43.731298252008855
368,284.1,0.0,1059.4062918390014,47104,44.46263946406543
376,207.9,0.0,1064.8352637639014,48128,45.19760158006102
384,223.9,0.0,1069.1470760249385,49152,45.973094911081716
392,244.4,0.0,1074.1793943191713,50176,46.711005876073614
400,166.3,0.0,1078.8670669676794,51200,47.457190572982654
408,128.2,0.0,1083.2042837947138,52224,48.21251243306324
416,155.4,0.0,1087.80593403012,53248,48.949907639063895
424,207.9,0.0,1091.1588107035352,54272,49.73794782906771
432,216.7,0.0,1095.3664222840941,55296,50.48173732100986
440,204.2,0.0,1099.4755610869522,56320,51.22442189103458
448,224.7,0.0,1102.7272991184914,57344,52.00197732099332
456,133.8,0.0,1107.5169414560187,58368,52.70167689106893
464,156.2,0.0,1111.5374350875104,59392,53.432298477040604
472,123.4,0.0,1115.2910966686393,60416,54.17061086604372
480,143.4,0.0,1118.0120170962607,61440,54.954686586977914
488,155.4,0.0,1120.553390663936,62464,55.74388558405917
496,149.0,0.0,1123.776029954675,63488,56.49524309800472
504,153.8,0.0,1126.7532765717779,64512,57.25477026903536
512,180.7,0.0,1129.4338765197115,65536,58.02553063305095
520,166.3,0.0,1132.134182101699,66560,58.79161768301856
528,165.0,0.0,1135.90947819461,67584,59.4976988020353
536,170.6,0.0,1139.232815923511,68608,60.22298431105446
544,135.4,0.0,1143.1533145223616,69632,60.912214586976916
552,127.4,0.0,1146.666980716189,70656,61.61858777503949
560,153.8,0.0,1149.9824223575663,71680,62.3313875120366
568,153.8,0.0,1153.90247990521,72704,63.00705758598633
576,175.4,0.0,1157.4451376963939,73728,63.698915480985306
584,148.2,0.0,1161.3676662844405,74752,64.36549093807116
592,140.2,0.0,1164.3672505113768,75776,65.07912341807969
600,140.2,0.0,1167.188531735599,76800,65.79913862398826
608,166.6,0.0,1169.2625873149423,77824,66.55818876298144
616,175.4,0.0,1171.7935970701556,78848,67.28830076998565
624,126.6,0.0,1174.2099655903917,79872,68.02190608205274
